keyword,title,labels,url
accessibility,"Latest 50 Papers - May 19, 2025",documentation,https://github.com/xydong-web/DailyArXiv/issues/70
accessibility,"Latest 15 Papers - May 19, 2025",documentation,https://github.com/JiamingZang/DailyArxiv/issues/63
accessibility,"Add ""Flag This Content"" Modal to Community Feed Posts (3-dot Menu Action)",High Priority,https://github.com/clim-bot/Knoc/issues/5
accessibility,Knoc: Implement Multi-image Post Feature for Community Feed Post,Medium Priority,https://github.com/clim-bot/Knoc/issues/4
accessibility,Exness vs OctaFX: Which Broker Is Right for You?,,https://github.com/zizzio1/Exness/issues/13
accessibility,Exness vs XM vs OctaFX: Which Broker Is Right for You?,,https://github.com/zizzio1/Exness/issues/12
accessibility,TriStateCheckbox: Add ARIA Accessibility,accessibility,https://github.com/primefaces/primefaces/issues/13813
accessibility,Exness vs IC Markets: Which Broker Is Right for You?,,https://github.com/zizzio1/Exness/issues/11
accessibility,Implement Dark Mode Toggle,,https://github.com/tarinagarwal/learnify/issues/6
accessibility,[Automation][Web] Can not inspects elements  after opening the filter message popup or opening menu popup of folder although we can do it before,integration-test,https://github.com/linagora/tmail-flutter/issues/3727
accessibility,[Feature Request] Customize modifier keys due to CTRL+SCROLL on macOS being Zoom Shortcut,enhancement,https://github.com/Kiatra/BlizzMove/issues/145
accessibility,[Automation][Web] Help show three dot icon next to folder name on folder tree,integration-test,https://github.com/linagora/tmail-flutter/issues/3726
accessibility,Exness vs Quotex: Which Broker Is Right for You?,,https://github.com/zizzio1/Exness/issues/10
accessibility,Please add examples and screenshots,documentation,https://github.com/Charlyk/swift-theme-kit/issues/5
accessibility,Readme,,https://github.com/PrabhakarPanwar/E-Commerce/issues/1
accessibility,Exness vs HFM: Which Broker Is Right for You?,,https://github.com/zizzio1/Exness/issues/9
accessibility,Support A2A protocol,,https://github.com/JackHopkins/factorio-learning-environment/issues/199
accessibility,Idea: Nostr Integration Layer,,https://github.com/buildonspark/sip/issues/3
accessibility,[Feature]: Enhance visual design of TraceDiff UI Components,enhancement,https://github.com/jaegertracing/jaeger-ui/issues/2777
accessibility,Conduct comprehensive accessibility audit for React frontend,"enhancement, frontend, react, accessibility",https://github.com/carpenike/rvc2api/issues/34
accessibility,Configure web server for Bedrock structure,"config, web-server",https://github.com/xwander-dev/xwander.fi/issues/4
accessibility,Various minor issues with the accessibility of the music cards for screenreaders,bug,https://github.com/jellyfin/jellyfin-web/issues/6879
accessibility,Ensure Responsive & Accessible Design,,https://github.com/eksb0803/html-css--Elise-Bringeland-/issues/20
accessibility,Exness vs Pepperstone: Which Broker Is Right for You?,,https://github.com/zizzio1/Exness/issues/7
accessibility,Accessibility / WCAG,testing,https://github.com/KimTHenriksen/PM-Project/issues/22
accessibility,Exness vs FBS: Which Broker Is Right for You?,,https://github.com/zizzio1/Exness/issues/5
accessibility,Exness vs Binance: Which Broker Is Right for You?,,https://github.com/zizzio1/Exness/issues/4
accessibility,Exness vs BDSwiss: Which Broker Is Right for You?,,https://github.com/zizzio1/Exness/issues/3
accessibility,Exness vs Avatrade: Which Broker Is Right for You?,,https://github.com/zizzio1/Exness/issues/2
accessibility,Exness vs FP Markets: Which Broker Is Right for You?,,https://github.com/zizzio1/Exness/issues/1
accessibility,UX: Add verifiers list to the verification page,"Backlog Refinement, User Story",https://github.com/bcgov/cas-reporting/issues/776
accessibility,UX: Add boundary map and PFD guidance doc links,"User Story, Backlog Refinement",https://github.com/bcgov/cas-registration/issues/3371
accessibility,[Bug]: Unlabeled Elements and Navigation Problems with VoiceOver,bug,https://github.com/advplyr/audiobookshelf-app/issues/1575
accessibility,Add internal tracking of who updates what data sources,"api 🌐, database 🗄️, back-end",https://github.com/Police-Data-Accessibility-Project/data-sources-app/issues/772
accessibility,[Feature]: Enable LLM to directly access images generated during code execution,,https://github.com/All-Hands-AI/OpenHands/issues/8551
accessibility,Sign-In Error Feedback,,https://github.com/kevDeveau/Circle/issues/37
accessibility,Responsive and Accessible Design,,https://github.com/Alejogvy/handcrafted-haven/issues/10
accessibility,[FEAT]: Handle per‑app grayscale more gracefully (avoid device‑freezing redraws),enhancement,https://github.com/C10udburst/Grayscaler/issues/2
accessibility,UX: Alert to assign operation rep to transferred operation,"User Story, Backlog Refinement, Design Backlog",https://github.com/bcgov/cas-registration/issues/3370
accessibility,fix accessibility issues ( a & button),,https://github.com/KalypsoDev/enjoy-and-learn/issues/12
accessibility,[macOS Sequoia 15.5] Betterdiscord unable to modify other applications,bug,https://github.com/BetterDiscord/Installer/issues/390
accessibility,Implement WCAG 2.1 AA Accessibility Standards,enhancement,https://github.com/conestogac-acsit/SENG8130-Software-Quality-Applications-Lab/issues/14
accessibility,Epic: Dark and Light Theme with Toggle,,https://github.com/Alcrro/e-commerceFrontend/issues/70
accessibility,Screen Reader Accessibility Issues with Core 2025.5.1,Accessibility,https://github.com/home-assistant/frontend/issues/25497
accessibility,Remove MyWeb accounts that have invalid HawkID's or are no longer eligible,"story, needs grooming, myweb",https://github.com/uiowa/uiowa/issues/8783
accessibility,Language switch disables personal data fields,"T: Bug, B: Blocked (not reproducible)",https://github.com/globaleaks/globaleaks-whistleblowing-software/issues/4494
accessibility,Feedback form buttons should not squash other buttons,bug,https://github.com/microsoft/BotFramework-WebChat/issues/5479
accessibility,Visual focus indicator missing for mobile 'menu' button (accessibility),,https://github.com/web-illinois/ilw-header/issues/10
accessibility,Popover - Design (phase 1),"component-new, platform-design-system-team",https://github.com/department-of-veterans-affairs/vets-design-system-documentation/issues/4151
accessibility,Tester feedback: something (`tangible_property[1].item`),,https://github.com/mplp/docassemble-MLHStatutoryWill/issues/45
accessibility,Parent issue: Transfer Transit Tracker into Hubspot,,https://github.com/cal-itp/customer-success/issues/797
accessibility,Improve tool codeblock accessibility,"bug, accessibility, unreleased",https://github.com/microsoft/vscode/issues/249134
accessibility,As an End User I want the app to be accessibility compliant.,"UI, GCP",https://github.com/ITPNYU/booking-app/issues/751
accessibility,Reorganize Documentation,,https://github.com/anchapin/pAIssive_income/issues/161
accessibility,Email Notifications Linking to NewDot for Non-Migrated Accounts,"Reviewing, Daily, Internal, AutoAssignerNewDotQuality",https://github.com/Expensify/App/issues/62241
accessibility,06 Record a Goose,"🏕 Priority Mandatory, 🐂 Size Medium, 🎯 Topic Code Review, 🎯 Topic Testing, 📅 Sprint 3",https://github.com/Radwan-Alshujaa/My-Coursework-Planner/issues/31
accessibility,Rating starts fail target size minimum requirement,,https://github.com/woocommerce/storefront/issues/2190
accessibility,Staging Review: Design System - Search Filter,"platform-design-system-team, CC-Request, DS-Staging-Review, va-search",https://github.com/department-of-veterans-affairs/va.gov-team/issues/109960
accessibility,Add dark mode toggle to dashboard UI,"enhancement, good first issue",https://github.com/Devika-Sajeesh/EduTracker/issues/1
accessibility,[.NET10] Add An API to SearchHandler so users can hide or show the softkeyboard,shell-search-handler,https://github.com/dotnet/maui/issues/29559
accessibility,[SHOWCASE]: https://marcopolomedia.pk/,"showcase, needs copy, needs images, needs review",https://github.com/WordPress/Marketing-Team/issues/559
accessibility,"2025-05-18, Papers for large language model, llm",,https://github.com/Arxiv-Sender/Arxiv-Sender/issues/173
accessibility,Evaluation of current ReVanced Manager Compose UI/UX,"Bug report, ReVanced Manager Compose",https://github.com/ReVanced/revanced-manager/issues/2555
accessibility,Add ButterPop.js to Best of JS,,https://github.com/michaelrambeau/bestofjs/issues/1081
accessibility,Configurable language for error handling,,https://github.com/SyntaxArc/ArchiPy/issues/44
accessibility,"When the minimize button was clicked, the program crashed.",,https://github.com/linebender/xilem/issues/979
accessibility,Rewind - a Visual ArNS History Explorer,open-proposal,https://github.com/ar-io/ar-io-grants/issues/16
accessibility,[Project]: SkillSwap,,https://github.com/spark-rvce/EduAIthon/issues/34
accessibility,[RegisterSoftware] Apple to add fresh accessibility features for 2025,RegisterSoftware,https://github.com/SecOpsNews/news/issues/48500
accessibility,Pixel Buds Issue,bug,https://github.com/jmshrv/finamp/issues/1220
accessibility,Cambios recientes en la rama stage-react-api / Recent changes in stage-react-api branch,,https://github.com/axelcisneros/pokedex-frontend/issues/3
accessibility,订阅源填了封面解密规则的图标都不显示了,BUG,https://github.com/gedoor/legado/issues/5066
accessibility,[54-EduPulse_Innovators] EduAudit: Empowering Rural Education,,https://github.com/spark-rvce/EduAIthon/issues/27
accessibility,Implement landing page design in code,Improvement,https://github.com/crafter-station/githunter/issues/62
accessibility,Migrate dialogs and modals to UI library,Refactor,https://github.com/crafter-station/githunter/issues/75
accessibility,Accessibility shortcut option instead of wake word,,https://github.com/Stypox/dicio-android/issues/320
accessibility,[Project]: ArkSentience - AI-Backed Knowledge Ark for Blackout Zones​,,https://github.com/spark-rvce/EduAIthon/issues/22
accessibility,Develop progress bar/indicator in frontend,Design,https://github.com/crafter-station/githunter/issues/50
accessibility,"Ticket 2.2: Implement CSS for Selected Action and ""Confirm Action"" Buttons",development,https://github.com/joeloverbeck/living-narrative-engine/issues/1871
accessibility,Develop progress bar/indicator in frontend,Design,https://github.com/crafter-station/gradual/issues/44
accessibility,Issue #6: [Feature] UI/UX Enhancements & Responsive Design,,https://github.com/Aman-codde/credit-card-analytics/issues/30
accessibility,Migrate dialogs and modals to UI library,Refactor,https://github.com/crafter-station/gradual/issues/24
accessibility,Develop progress bar/indicator in frontend,Design,https://github.com/crafter-station/githunter/issues/38
accessibility,Instant Oracles,,https://github.com/risechain/rise-support/issues/33
accessibility,Update all neon cyan accents to blue-cyan neon (#00bfff) across the app,,https://github.com/Justinn/commandnet/issues/10
accessibility,Create DMZ Zone for Web Server,enhancement,https://github.com/lewi0231/home-lab-automation/issues/3
accessibility,Create a basic homepage using MaterialUI,"frontend, homepage, MaterialUI",https://github.com/Justinn/commandnet/issues/9
accessibility,Add SSL Certificate and Configure Cloudflare for drumstore.id.vn,enhancement,https://github.com/flourine95/drum_store/issues/82
accessibility,"Story 4.4: Add Keyboard Navigation Support (Next/Previous, Up/Down)","status:backlog, story",https://github.com/ajelinek/blogs/issues/30
accessibility,Feature: Presentation Framework,"feature, status:backlog",https://github.com/ajelinek/blogs/issues/10
accessibility,Link Checker Report,"report, automated issue",https://github.com/alphazaero/web-dev-beginner/issues/8
accessibility,Link Checker Report,"report, automated issue",https://github.com/Josephine-Y/Web-Dev-Course/issues/9
accessibility,Link Checker Report,"report, automated issue",https://github.com/wyzhu234/web_dev/issues/2
accessibility,Link Checker Report,"report, automated issue",https://github.com/kmsmaniacup/WebDev/issues/1
accessibility,Link Checker Report,"report, automated issue",https://github.com/mzx25354/web-dev-beginner/issues/2
accessibility,Link Checker Report,"report, automated issue",https://github.com/JasonBestBork/Web-Dev-Learning/issues/3
accessibility,Link Checker Report,"report, automated issue",https://github.com/Ayush04-C/fuzzy-journey/issues/7
accessibility,Link Checker Report,"report, automated issue",https://github.com/pretinho100/Microsoft-Web-Dev/issues/10
accessibility,Link Checker Report,"report, automated issue",https://github.com/Vannexs/ubiquitous-octo-funicular/issues/8
accessibility,Link Checker Report,"report, automated issue",https://github.com/Gyllvdrakegelo/https-github.com-microsoft-Web-Dev-For-Beginners/issues/7
a11y,Waiting for data... found in Datadog application management dashboard,setup,https://github.com/DataDog/dd-sdk-reactnative/issues/877
a11y,"While navigating in scan mode, narrator focus is going twice/thrice on the controls like refresh, info, connect to an API center, present beside in the Azure API center and Platform API Catalog:A11y_VS Code Extension for API Center [Win32]Azure API_Generate API client",needs attention,https://github.com/microsoft/vscode-azureapicenter/issues/357
a11y,The narrator is announcing an unnecessary heading level for the tree view items.: A11y_VS Code Extension for API Center_Azure API_Azure tree view.,needs attention,https://github.com/microsoft/vscode-azureapicenter/issues/356
a11y,✨ feat: 타임라인 댓글 삭제 로직 추가,feat: 기능 추,https://github.com/09-MainProject/MyFavIdolFront/issues/83
a11y,Introduce Cron Editor component,"kind/enhancement, area/components, QA/dev-automation",https://github.com/rancher/dashboard/issues/14341
a11y,New content is RSS fedd,bug,https://github.com/Orange-OpenSource/a11y-guidelines/issues/708
a11y,[Frontend] Register User,,https://github.com/GoldenaArcher/mern-eccomerce-multi-vendor/issues/124
a11y,[SFSF]Carousel: A11y - Elements must only use supported ARIA attributes,"bug, TOPIC RD",https://github.com/SAP/ui5-webcomponents/issues/11515
a11y,[SF]Card: [A11y AXE Error]Landmarks should have a unique role or role/label/title (i.e. accessible name) combination,author action,https://github.com/SAP/ui5-webcomponents-react/issues/7337
a11y,Remind clients when filling out Contact us not to include API key,"Public website l Site web public, Content l Contenu",https://github.com/cds-snc/notification-planning/issues/1912
a11y,Fix bridge connector on context.sendPrompt in the plugins API,Plugin,https://github.com/stagewise-io/stagewise/issues/109
a11y,Design System (+ Forms) Staging Review: International Phone Number,"CC-Request, DS-Staging-Review",https://github.com/department-of-veterans-affairs/va.gov-team/issues/109677
a11y,Dev Test: Balancing Chemical Equations 2.0.0-dev.1,QA:dev-test,https://github.com/phetsims/qa/issues/1253
a11y,a11y CRITICAL: `auro-dropdown`: trigger's `aria-controls` has wrong value,,https://github.com/AlaskaAirlines/auro-formkit/issues/598
a11y,Add Tier 1 Description,design:description,https://github.com/phetsims/center-and-variability/issues/628
a11y,💅 `noUselessUndefinedInitialization` false positive in svelte 4 file.,"good first issue, A-Linter, L-JavaScript, S-Bug-confirmed",https://github.com/biomejs/biome/issues/6003
a11y,[Bug]: Accessibility Audit of settings screen,"bug, needs triage",https://github.com/aspirepress/aspireupdate/issues/379
a11y,a11y CRITICAL: `auro-input` : no keyboard access to password button,,https://github.com/AlaskaAirlines/auro-formkit/issues/597
a11y,a11y CRITICAL: `auro-radio` - color contrast on disabled state,,https://github.com/AlaskaAirlines/auro-formkit/issues/596
a11y,a11y CRITICAL: `auro-menu`: no label on `role='listbox'` element,,https://github.com/AlaskaAirlines/auro-formkit/issues/595
a11y,a11y CRITICAL - `auro-menu`:`role='listbox'` is not allow to have a child with `role='group'`,,https://github.com/AlaskaAirlines/auro-formkit/issues/594
a11y,A11y - Review Document Status Initiative Figma,"accessibility, bmt-team-1, benefits-management-tools, bmt-2025",https://github.com/department-of-veterans-affairs/va.gov-team/issues/109642
a11y,[MHV Supply Reorder] Make changes in response to no save in progress and new 4xx/5xx error text,"engineering, needs-refinement, Cartographers",https://github.com/department-of-veterans-affairs/va.gov-team/issues/109618
a11y,💅 False positive `lint/nursery/noUnknownPseudoElement` with `::view-transition-new(<pt-name-selector>)`,"L-CSS, S-Bug-confirmed",https://github.com/biomejs/biome/issues/5998
a11y,Ant Design Table a11y Issues,unconfirmed,https://github.com/ant-design/ant-design/issues/53819
a11y,"[Milestone 2] Update ""In the spotlight"" links to articles that are irrelevant to users","engineering, Cartographers",https://github.com/department-of-veterans-affairs/va.gov-team/issues/109590
a11y,"Collaboration Cycle Kickoff [Benefits Management Team 1, Smooth, Stable Loading Experience]","collaboration-cycle, CC-Request, bmt-team-1, benefits-management-tools, bmt-2025",https://github.com/department-of-veterans-affairs/va.gov-team/issues/109588
a11y,A11Y: Enable screenreader to read payment option before submitting the form in checkout when using keyboard navigation,"area/accessibility, priority/high, Platform(Default), domain/checkout",https://github.com/shopware/shopware/issues/9346
a11y,Shiki powered codeblocks flagged by a11y audit,- P3: minor bug,https://github.com/withastro/astro/issues/13793
a11y,Admin interface is basically broken on mobile devices,,https://github.com/opencast/opencast-admin-interface/issues/1211
a11y,feat[dev]: ✨ Add Motion Design for sd-mapmarker,"🔧 code, Subtask",https://github.com/solid-design-system/solid/issues/2200
a11y,feat[dev]: ✨ Add Motion Design for sd-spinner,"🔧 code, Subtask",https://github.com/solid-design-system/solid/issues/2199
a11y,feat[dev]: ✨ Add Motion Design for sd-video,"🔧 code, Subtask",https://github.com/solid-design-system/solid/issues/2198
a11y,feat[dev]: ✨ Add Motion Design for sd-carousel,"🔧 code, Subtask",https://github.com/solid-design-system/solid/issues/2197
a11y,feat[dev]: ✨ Add Motion Design for sd-scrollable,"🔧 code, Subtask",https://github.com/solid-design-system/solid/issues/2196
a11y,feat[dev]: ✨ Add Motion Design for sd-navigation-item,"🔧 code, Subtask",https://github.com/solid-design-system/solid/issues/2195
a11y,[SelectDialog]: A11y Incorrect behavior on mobile with TalkBack enabled,"bug, ACC, author action",https://github.com/SAP/ui5-webcomponents/issues/11467
a11y,feat[dev]: ✨ Add Motion Design for sd-tab,"🔧 code, Subtask",https://github.com/solid-design-system/solid/issues/2194
a11y,feat[dev]: ✨ Add Motion Design for sd-expandable,"🔧 code, Subtask",https://github.com/solid-design-system/solid/issues/2193
a11y,feat[dev]: ✨ Add Motion Design for sd-quickfact,"🔧 code, Subtask",https://github.com/solid-design-system/solid/issues/2192
a11y,"A11Y: Dropdown ""searchEnabled"":  false & rating render as dropdown","bug, accessibility",https://github.com/surveyjs/survey-library/issues/9850
a11y,feat[dev]: ✨ Add Motion Design for sd-accordion,"🔧 code, Subtask",https://github.com/solid-design-system/solid/issues/2191
